date,price
1520640000,499.36
1520726400,483.6
1520812800,531.15
1520899200,499.24
1520985600,487.36
1521072000,425.95
1521158400,418.54
1521244800,426.3
1521331200,388.18
1521417600,392.32
1521504000,412.49
1521590400,429.15
1521676800,434.44
1521763200,411.27
1521849600,432.17
1521936000,420.02
1522022400,410.73
1522108800,390.24
1522195200,354.93
1522281600,350.85
1522368000,328.65
1522454400,310.91
1522540800,306.21
1522627200,292.64
1522713600,312.64
1522800000,339.84
1522886400,300.25
1522972800,300.65
1523059200,285.72
1523145600,297.94
1523232000,311.26
1523318400,298.65
1523404800,299.51
1523491200,308.94
1523577600,355.67
1523664000,352.53
1523750400,356.67
1523836800,381.8
1523923200,364.04
1524009600,363.41
1524096000,420.83
1524182400,431.57
1524268800,461.26
1524355200,444.55
1524441600,466.9
1524528000,504.88
1524614400,527.81
1524700800,463.11
1524787200,504.29
1524873600,470.74
1524960000,494.3
1525046400,498.44
1525132800,473.16
1525219200,478.17
1525305600,481.56
1525392000,502.68
1525478400,486.32
1525564800,506.06
1525651200,485.74
1525737600,458.76
1525824000,443.13
1525910400,443.15
1525996800,421.61
1526083200,389.24
1526169600,404.11
1526256000,416.49
1526342400,432.18
1526428800,429.32
1526515200,413.03
1526601600,387.96
1526688000,395.93
1526774400,386.9
1526860800,402.51
1526947200,384.6
1527033600,360.45
1527120000,340.42
1527206400,344.45
1527292800,339.3
1527379200,321.72
1527465600,315.96
1527552000,288.37
1527638400,316.89
1527724800,303.42
1527811200,304.94
1527897600,315.34
1527984000,322.31
1528070400,330.73
1528156800,317.03
1528243200,317.56
